Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cameron Johnson,28,BRK,PF,26,26,848,19.5,.663,.595,.311,2.6,14.0,8.2,15.6,1.2,1.7,7.2,21.3,2.6,0.4,2.9,.166,5.2,-0.3,4.9,1.5,,32.6,6.2,12.7,.489,3.3,7.6,.431,3.0,.575,.618,3.5,4.0,.874,0.7,3.7,4.5,3.1,0.8,0.5,1.1,1.9,19.2
Alperen Sengun,22,HOU,C,27,27,843,22.7,.539,.097,.320,11.0,24.5,17.7,27.3,1.8,2.9,11.3,26.0,1.7,1.9,3.6,.206,3.9,2.8,6.7,1.8,,31.2,7.3,15.3,.481,0.4,1.5,.250,7.0,13.8,.505,.493,3.7,4.9,.765,3.3,7.2,10.6,5.3,1.2,1.0,2.2,2.7,18.8
Brook Lopez,36,MIL,C,26,26,841,13.2,.596,.563,.148,4.3,12.2,8.4,6.6,1.5,6.1,11.0,14.4,0.7,1.0,1.7,.096,-0.7,0.8,0.2,0.5,,32.3,4.2,8.8,.480,1.8,5.0,.364,2.4,3.8,.630,.583,0.9,1.3,.706,1.2,3.7,5.0,2.1,1.2,2.4,11.2
Giannis Antetokounmpo,30,MIL,PF,24,24,840,31.9,.632,.036,.543,6.5,29.0,18.2,35.4,1.0,4.0,11.7,36.9,3.1,1.2,4.3,.244,6.8,2.3,9.1,2.3,,35.0,12.8,20.9,.613,0.2,0.8,.222,12.6,20.1,.627,.617,7.0,11.3,.614,2.0,9.6,11.6,6.0,0.7,1.5,3.4,32.7
Jalen Suggs,23,ORL,PG,28,28,839,14.3,.533,.519,.213,2.5,14.2,8.1,21.4,2.5,3.4,16.0,25.9,-0.3,1.6,1.3,.075,-0.9,1.4,0.5,0.5,,30.0,5.6,13.8,.405,2.2,7.1,.310,6.6,.508,.486,2.7,2.9,.915,0.7,3.5,4.2,3.9,1.5,1.0,2.9,2.8
Tobias Harris,32,DET,PF,26,26,837,13.4,.537,.374,.190,3.7,19.8,11.9,10.9,1.2,2.6,8.8,18.5,0.6,0.9,1.4,.083,-1.0,0.1,-0.9,0.2,,32.2,5.2,11.7,.439,1.5,4.4,.333,7.3,.503,.502,1.9,2.2,.845,1.1,5.8,6.9,2.4,0.8,2.0,13.7
Bilal Coulibaly,20,WAS,SF,24,24,837,11.5,.538,.358,.287,4.3,12.0,8.1,13.8,2.0,2.0,14.9,16.6,0.1,0.2,0.4,.020,-2.2,-0.5,-2.7,-0.2,,34.9,4.6,10.6,.437,1.2,3.8,.308,3.5,6.8,.509,.492,2.4,3.0,.795,1.5,4.0,5.5,3.4,1.5,0.8,2.1,2.6,12.8
Jakob Poeltl,29,TOR,C,26,25,835,19.4,.611,.007,.301,13.2,24.5,18.8,12.9,1.7,3.7,14.5,19.3,1.4,1.0,2.4,.138,0.4,0.3,0.7,0.6,,32.1,6.6,11.2,.589,0.0,0.1,.000,6.6,11.2,.593,.589,2.3,3.4,.682,3.9,7.1,11.0,2.7,1.1,1.2,2.2,3.5,15.5
Tyus Jones,28,PHO,PG,26,26,831,16.6,.618,.557,.078,2.0,7.0,4.5,31.5,1.6,0.3,9.6,15.5,2.3,0.2,2.5,.147,2.5,-1.0,1.5,0.7,,32.0,4.8,9.8,.486,5.5,.430,2.4,4.3,.558,.606,0.8,.850,0.6,2.6,6.9,1.0,0.1,1.1,1.1,12.5
Franz Wagner,23,ORL,SF,25,25,829,22.8,.573,.336,.285,3.1,17.1,9.8,32.1,2.6,1.4,10.3,31.0,1.7,1.5,3.3,.189,4.3,1.8,6.1,1.7,,33.2,8.8,18.9,.465,2.0,6.4,.321,6.8,12.6,.538,.519,4.8,5.4,.881,0.9,4.7,5.6,5.7,0.5,2.4,2.3,24.4
Jabari Smith Jr.,21,HOU,PF,27,27,829,12.8,.572,.518,.220,5.9,16.8,11.2,5.0,0.5,2.7,6.4,14.9,1.3,1.3,2.6,.151,-0.3,0.6,0.3,0.5,,30.7,4.1,9.4,.439,1.8,4.9,.364,2.4,4.6,.520,.533,1.8,2.1,.857,1.7,4.9,6.6,1.1,0.9,0.7,2.4,11.9
