Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Tidjane SalaÃ¼n,19,CHO,PF,24,8,457,7.7,.448,.667,.179,5.7,19.0,12.1,8.3,1.5,0.9,12.5,14.0,-0.2,0.3,0.1,.015,-4.0,-0.5,-4.5,-0.3,
Ron Holland,19,DET,SF,28,1,453,9.8,.543,.385,.230,3.9,16.9,10.5,6.1,1.4,1.1,14.2,17.9,-0.1,0.4,0.3,.031,-4.1,-0.6,-4.7,-0.3,
Chris Boucher,32,TOR,PF,25,0,452,16.6,.551,.480,.286,8.3,19.8,14.0,5.0,1.4,4.1,6.8,21.8,0.5,0.4,1.0,.102,1.1,-1.0,0.1,0.2,
Jaime Jaquez Jr.,23,MIA,SF,21,1,451,12.2,.493,.261,.309,6.5,18.1,12.3,15.3,2.3,0.4,14.2,21.1,-0.2,0.6,0.4,.047,-3.4,0.2,-3.1,-0.1,
Andre Jackson Jr.,23,MIL,SG,25,17,448,5.4,.481,.523,.091,5.1,13.2,9.3,10.1,2.1,1.5,26.5,12.3,-0.5,0.5,0.0,-0.004,-6.1,0.3,-5.9,-0.4,
Miles Bridges,26,CHO,PF,15,15,445,15.4,.529,.448,.233,3.3,22.6,12.5,16.9,0.9,1.8,9.7,24.4,0.3,0.3,0.7,.074,0.5,-1.3,-0.8,0.1,
Andre Drummond,31,PHI,C,22,13,441,15.4,.537,.070,.419,15.9,32.9,23.9,3.9,3.4,2.1,20.3,19.1,-0.1,0.9,0.7,.078,-3.2,-0.1,-3.3,-0.2,
Dean Wade,28,CLE,PF,20,11,439,11.0,.512,.853,.206,4.4,19.6,12.2,7.3,2.3,1.7,4.3,11.4,0.3,0.7,1.1,.115,-0.6,1.6,0.9,0.3,
KJ Martin,24,PHI,PF,22,5,433,13.5,.717,.195,.333,4.8,11.4,7.9,6.0,1.2,3.8,9.1,11.1,0.9,0.4,1.3,.147,-1.4,0.5,-0.9,0.1,
Keon Johnson,22,BRK,SG,25,6,428,5.8,.451,.625,.079,3.5,16.3,9.8,9.3,1.5,1.9,13.7,18.9,-0.7,0.3,-0.5,-0.051,-5.5,-1.1,-6.6,-0.5,
Mason Plumlee,34,PHO,C,25,7,423,13.2,.571,.000,.600,10.2,28.4,19.4,12.5,1.0,4.4,19.9,11.5,0.4,0.5,0.9,.105,-2.4,0.8,-1.6,0.0,
Trayce Jackson-Davis,24,GSW,C,25,18,422,18.7,.615,.008,.288,10.0,19.8,14.8,17.6,0.8,3.8,11.3,16.5,1.0,0.6,1.5,.174,0.9,1.2,2.1,0.4,
Wendell Carter Jr.,25,ORL,C,16,16,419,14.2,.575,.402,.573,8.3,27.8,17.6,12.8,1.7,2.1,11.2,12.0,0.7,0.8,1.5,.171,-1.6,2.1,0.5,0.3,
Ajay Mitchell,22,OKC,SG,27,0,415,10.8,.565,.277,.160,2.8,7.8,5.3,14.4,2.4,0.5,15.3,15.5,0.2,0.7,0.9,.108,-3.7,1.1,-2.6,-0.1,
Aaron Gordon,29,DEN,PF,14,13,412,16.4,.643,.326,.426,7.2,15.1,11.3,14.9,0.7,0.7,12.1,17.8,1.0,0.2,1.2,.140,2.2,-1.2,1.1,0.3,
